         1080338 function calls (1039334 primitive calls) in 6.974 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:752(_maybe_repeat)
       90    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       18    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\_asarray.py:108(<setcomp>)
      102    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\multiarray.py:1080(copyto)
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:127(_get_single_key)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:1771(_consolidate_check)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\range.py:201(_simple_new)
       44    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\range.py:999(__len__)
      114    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:635(_get_root)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\inference.py:404(is_dataclass)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\api.py:385(default_index)
       42    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\common.py:1255(is_1d_only_ea_dtype)
        3    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:2696(new_block_2d)
        6    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:145(_get_option)
       12    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       24    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       12    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\common.py:1316(is_ea_or_datetimelike_dtype)
       17    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:219(_can_consolidate)
        3    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\shape_base.py:81(atleast_2d)
       18    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2263(<lambda>)
        9    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:481(ensure_wrapped_if_datetimelike)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:676(_translate_key)
        6    0.000    0.000    0.014    0.002 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:1006(convert_object_array)
       20    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:909(__len__)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:591(_ensure_array)
        4    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\numerictypes.py:357(issubdtype)
        9    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\_dtype.py:330(_name_includes_bit_suffix)
        8    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\numerictypes.py:283(issubclass_)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:7687(maybe_extract_name)
        3    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:2638(maybe_coerce_values)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:950(_validate_or_indexify_columns)
       60    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\typing.py:2256(cast)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:1763(is_consolidated)
       12    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:916(<genexpr>)
        6    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\dataclasses.py:1256(is_dataclass)
        4    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:2788(extend_blocks)
        3    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2284(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:617(_select_options)
       12    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFB1B908F90}
        2    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\base.py:82(shape)
        3    0.000    0.000    0.002    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\flags.py:51(__init__)
        3    0.000    0.000    0.002    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:1025(argsort)
       12    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:831(_reset_identity)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:609(_dtype_to_subclass)
       18    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:196(mgr_to_mgr)
        6    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\__init__.py:34(using_copy_on_write)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\inference.py:334(is_hashable)
     12/4    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       12    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:649(_get_deprecated_option)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\inference.py:306(is_named_tuple)
       17    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:718(dtype)
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:262(__subclasshook__)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:685(_sanitize_non_ordered)
        9    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\_dtype.py:24(_kind_name)
       18    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:5140(_values)
       12    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       18    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\base.py:84(<genexpr>)
        3    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\shape_base.py:215(_vhstack_dispatcher)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:409(__subclasshook__)
        3    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
        3    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2293(<listcomp>)
        8    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:266(mgr_locs)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:78(_check_methods)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        9    0.000    0.000    0.000    0.000 <frozen _collections_abc>:315(__subclasshook__)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\multiarray.py:153(concatenate)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:914(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:1021(_argsort_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\shape_base.py:77(_atleast_2d_dispatcher)


