         337545 function calls (333626 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      496    0.002    0.000    0.005    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\api.py:385(default_index)
     3087    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        2    0.002    0.001    0.002    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:3774(get_loc)
     1483    0.002    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:676(_translate_key)
        6    0.002    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\range.py:1148(take)
     1561    0.002    0.000    0.002    0.000 C:\Program Files\Python311\Lib\asyncio\events.py:119(__lt__)
      394    0.002    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\printing.py:522(<listcomp>)
      209    0.002    0.000    0.062    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:1070(<listcomp>)
      209    0.002    0.000    0.130    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
      488    0.002    0.000    0.004    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\generic.py:6295(__setattr__)
       78    0.002    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\cast.py:124(maybe_convert_platform)
      640    0.002    0.000    0.003    0.000 C:\Program Files\Python311\Lib\asyncio\base_events.py:780(_call_soon)
      209    0.002    0.000    0.086    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:793(to_arrays)
      209    0.002    0.000    0.007    0.000 C:\Program Files\Python311\Lib\asyncio\base_events.py:709(call_later)
      640    0.002    0.000    0.005    0.000 C:\Program Files\Python311\Lib\asyncio\base_events.py:751(call_soon)
      242    0.002    0.000    0.005    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
     1931    0.002    0.000    0.007    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\missing.py:101(isna)
      214    0.002    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\printing.py:518(<listcomp>)
     5725    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      128    0.002    0.000    0.068    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:1079(format_array)
    40/16    0.002    0.000    0.028    0.002 <frozen os>:345(_walk)
       18    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
      209    0.001    0.000    0.005    0.000 C:\Program Files\Python311\Lib\asyncio\base_events.py:733(call_at)
      102    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:1013(iget)
